digits,section,division,group,class,item,desc_en,exclude_en,include_en,desc_bm,exclude_bm,include_bm
5,G,47,476,4763,47635,Retail sale of bicycles and related parts and accessories,,,Jualan runcit basikal dan komponen (termasuk alat ganti) dan aksesori yang berkaitan,,
5,G,47,476,4764,47640,"Retail sale of games and toys, made of all materials","retail sale of video game consoles, see 47412. retail sale of non-customized software including video games, see 47412",,"Jualan runcit permainan dan barang mainan, diperbuat dari pelbagai bahan",,
5,G,47,477,4771,47711,"Retail sale of articles of clothing, articles of fur and clothing accessories",,"retail sale of gloves, ties and braces, etc","Jualan runcit pakaian, artikel bagi bulu binatang dan aksesori pakaian(2)",,
5,G,47,477,4771,47712,Retail sale of footwear,,,Jualan runcit kasut,,
5,G,47,477,4771,47713,"Retail sale of leather goods, accessories of leather and leather substitutes",,,"Jualan runcit barangan kulit, aksesori kulit serta gantian kulit",,
5,G,47,477,4772,47721,"Stores specialized in retail sale of pharmaceuticals, medical and orthopaedic goods",,,"Jualan runcit di kedai khusus yang menjual barang farmaseutikal, perubatan dan ortopedik",,
5,G,47,477,4772,47722,"Stores specialized in retail sale of perfumery, cosmetic and toilet articles",,,"Jualan runcit di kedai khusus yang menjual pewangi, kosmetik dan kelengkapan dandanan diri",,
5,G,47,477,4773,47731,Retail sale of photographic and precision equipment,,,Jualan runcit peralatan fotografi dan kepersisan,,
5,G,47,477,4773,47732,Retail sale of watches and clocks,,,Jualan runcit jam tangan dan jam dinding,,
5,G,47,477,4773,47733,Retail sale of jewellery,,,Jualan runcit barang kemas,,
5,G,47,477,4773,47734,"Retail sale of flowers, plants, seeds, fertilizers",,,"Jualan runcit bunga, tumbuhan, biji benih dan baja",,
5,G,47,477,4773,47735,"Retail sale of souvenirs, craftwork and religious articles",,,"Jualan runcit cenderahati, kraftangan dan barang keagamaan",,
5,G,47,477,4773,47736,"Retail sale of household fuel oil, cooking gas, coal and fuel wood",,,"Jualan runcit minyak tanah, gas memasak, batu arang dan kayu api",,
